2026-07-20 21:49:21,707 | ERROR | __main__ | TERJADI ERROR TIDAK TERDUGA : 'PokemonClient' object has no attribute 'session'
2026-07-20 21:51:11,263 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-20 21:51:11,264 | ERROR | __main__ | TIPE DATA TIDAK SESUAI : list indices must be integers or slices, not str
2026-07-20 21:52:56,835 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-20 21:52:56,839 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 18:46:24,223 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 18:46:24,225 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 18:49:33,543 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 18:49:33,549 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 18:55:08,280 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 18:55:08,285 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 18:55:09,896 | ERROR | __main__ | TERJADI MASALAH SAAT MENGHUBUNGI SERVER : 404 Client Error: Not Found for url: https://pokeapi.co/api/v2/pokemon/charizhard
2026-07-23 18:55:46,460 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 18:55:46,465 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 18:55:46,541 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 18:55:46,541 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 19:00:53,709 | ERROR | __main__ | TERJADI MASALAH SAAT MENGHUBUNGI SERVER : 400 Client Error: Bad Request for url: https://pokeapi.co/api/v2/pokemon/%5B'pikachu',%20'charizard'%5D
2026-07-23 19:08:12,156 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 19:08:12,161 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 19:08:12,277 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 19:08:12,279 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 19:13:23,851 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 19:13:23,857 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 19:13:38,979 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 19:13:38,981 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 19:16:53,029 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 19:16:53,034 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 19:16:53,131 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 19:16:53,132 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 19:18:25,537 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 19:18:25,538 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 19:18:25,595 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 19:18:25,596 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 19:28:29,400 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 19:28:29,405 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 19:28:29,509 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 19:28:29,510 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 19:28:29,599 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 19:28:29,600 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 19:30:21,682 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 19:30:21,689 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 19:30:21,772 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 19:30:21,773 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
2026-07-23 19:30:21,849 | INFO | __main__ | DATA POKEMON BERHASIL DIDAPATKAN
2026-07-23 19:30:21,850 | INFO | __main__ | DATA POKEMON BERHASIL DIVALIDASI
